1.100000,200.000000,0.308750,178.831871
1.100000,200.000000,0.310000,178.831871
1.100000,200.000000,0.312500,178.831871
1.100000,200.000000,0.313750,178.831871
1.100000,200.000000,0.316250,178.831871
1.100000,200.000000,0.318750,178.237523
1.100000,200.000000,0.320000,178.237523
1.100000,200.000000,0.321250,178.237523
1.100000,200.000000,0.322500,177.643175
1.100000,200.000000,0.323750,177.048827
1.100000,200.000000,0.325000,177.048827
1.100000,200.000000,0.327500,177.048827
1.100000,200.000000,0.328750,176.454479
1.100000,200.000000,0.331250,176.454479
1.100000,200.000000,0.333750,175.265783
1.100000,200.000000,0.335000,175.265783
1.100000,200.000000,0.336250,175.265783
1.100000,200.000000,0.338750,175.265783
1.100000,200.000000,0.340000,175.265783
1.100000,200.000000,0.342500,175.265783
1.100000,200.000000,0.343750,174.671435
1.100000,200.000000,0.346250,174.671435
1.100000,200.000000,0.347500,174.671435
1.100000,200.000000,0.350000,174.671435
1.100000,200.000000,0.351250,174.671435
1.100000,200.000000,0.353750,174.671435
1.100000,200.000000,0.356250,174.077088
1.100000,200.000000,0.357500,173.482740
1.100000,200.000000,0.358750,173.482740
1.100000,200.000000,0.361250,173.482740
1.100000,200.000000,0.362500,173.482740
1.100000,200.000000,0.365000,173.482740
1.100000,200.000000,0.366250,173.482740
1.100000,200.000000,0.368750,173.482740
1.100000,200.000000,0.370000,172.888392
1.100000,200.000000,0.372500,172.888392
1.100000,200.000000,0.373750,172.294044
1.100000,200.000000,0.375000,171.699696
1.100000,200.000000,0.376250,171.699696
1.100000,200.000000,0.377500,171.699696
1.100000,200.000000,0.380000,171.699696
1.100000,200.000000,0.381250,171.105348
1.100000,200.000000,0.383750,169.916652
1.100000,200.000000,0.385000,169.916652
1.100000,200.000000,0.386250,169.322304
1.100000,200.000000,0.387500,169.322304
1.100000,200.000000,0.390000,168.133608
1.100000,200.000000,0.391250,168.133608
1.100000,200.000000,0.392500,168.133608
1.100000,200.000000,0.396250,167.539260
1.100000,200.000000,0.398750,166.350565
1.100000,200.000000,0.400000,166.350565
1.100000,200.000000,0.403125,166.350565
1.100000,200.000000,0.404688,166.350565
1.100000,200.000000,0.407813,166.350565
1.100000,200.000000,0.410938,165.756217
1.100000,200.000000,0.412500,165.756217
1.100000,200.000000,0.415625,164.567521
1.100000,200.000000,0.417188,164.567521
1.100000,200.000000,0.418750,164.567521
1.100000,200.000000,0.421875,163.973173
1.100000,200.000000,0.423438,163.973173
1.100000,200.000000,0.425000,163.378825
1.100000,200.000000,0.426563,162.784477
1.100000,200.000000,0.428125,162.784477
1.100000,200.000000,0.431250,162.190129
